attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,DPA_HMA,30,36.666666666666664,0.31621263939006106
ArcFace,GhostFaceNet,DPA_HMA,30,43.333333333333336,0.14750939340400573
ArcFace,IR152,DPA_HMA,30,26.666666666666668,0.2351580965022246
ArcFace,VGG-Face,DPA_HMA,30,43.333333333333336,0.16240445497607434
Facenet512,ArcFace,DPA_HMA,30,60.0,0.24408264798951718
Facenet512,GhostFaceNet,DPA_HMA,30,43.333333333333336,0.14407626700357595
Facenet512,IR152,DPA_HMA,30,46.666666666666664,0.2875902578855554
Facenet512,VGG-Face,DPA_HMA,30,63.333333333333336,0.23093076893623932
GhostFaceNet,ArcFace,DPA_HMA,30,36.666666666666664,0.14023902771685762
GhostFaceNet,Facenet512,DPA_HMA,30,20.0,0.1995195622863551
GhostFaceNet,IR152,DPA_HMA,30,16.666666666666668,0.19037409753849108
GhostFaceNet,VGG-Face,DPA_HMA,30,20.0,0.09272420012798496
VGG-Face,ArcFace,DPA_HMA,30,56.666666666666664,0.22993020472075637
VGG-Face,Facenet512,DPA_HMA,30,56.666666666666664,0.4507996076637898
VGG-Face,GhostFaceNet,DPA_HMA,30,43.333333333333336,0.13736155432903277
VGG-Face,IR152,DPA_HMA,30,20.0,0.20773724062989155
